Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
932547;Elisabeth Cognac XO Extra;Les vignobles L & G Arrive;0,7 l;139.23;198.9;;432;konjakit;XO-Konjakit;luomu;;Ranska;Cognac;;Appellation Cognac Fins Bois Controlee;;;Kullanruskea, täyteläinen, melko iäkäs, lämmin, pähkinäinen, kuivahedelmäinen, tamminen;pullo;luonnonkorkki;40.0;;1;;;;220.0;tilausvalikoima;3,57271E+12
918157;Elisabeth XO Organic Fine Cognac;Les vignobles L & G Arrive;0,7 l;78.20;111.71;;432;konjakit;XO-Konjakit;luomu;;Ranska;Cognac;;Appellation Cognac Fins Bois Controlee;;;Kullanruskea, täyteläinen, melko iäkäs, lämmin, aprikoosinen, hedelmäinen, kaakaoinen, hennon vaniljainen;pullo;luonnonkorkki;40.0;;12;;;;230.0;vakiovalikoima;3,57271E+12
936855;Exsto Elixir Cognac;Savona;0,7 l;377.58;539.4;uutuus;432;konjakit;Muut-Konjakit;;;Ranska;Cognac;;;;;Kanelinruskea, täyteläinen, melko iäkäs, lämmin, kermatoffeinen, aprikoosinen, vaniljainen;pullo;lasitulppa;40.0;;12;;;;230.0;tilausvalikoima;3,77002E+12
179156;Ferrand 10 Generations;Ferrand;0,5 l;44.98;89.76;;432;konjakit;Muut-Konjakit;;;Ranska;Cognac;;AC Grande Champagne;;;Kullankeltainen, täyteläinen, melko iäkäs, lämmin, hedelmäinen, kermatoffeinen, kevyen appelsiininkukkainen;pullo;luonnonkorkki;46.0;;15;;;;270.0;vakiovalikoima;3,46041E+12
919046;Frapin 1270;Cognac Frapin;0,7 l;49.90;71.29;;432;konjakit;VS-Konjakit;;;Ranska;Cognac;;AC Cognac Grande Champagne;;;Kuparinruskea, keskitäyteläinen, melko iäkäs, lämmin, hedelmäinen, kukkainen, vaniljainen;pullo;luonnonkorkki;40.0;;12;;;;230.0;tilausvalikoima;3,27585E+12
861;Frapin Château Fontpinot XO;Frapin;0,7 l;109.00;155.57;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;AC Cognac Grande Champagne;;;Meripihkanruskea, täyteläinen, iäkäs, terävä, kypsän aprikoosinen, luumuinen, tummasuklainen, mineraalinen, yrttinen, pitkä;pullo;luonnonkorkki;41.0;;11;;;;230.0;vakiovalikoima;3,30548E+12
105547;Frapin Plume Cognac;Cognac Frapin;0,7 l;2800.00;4000.0;uutuus;432;konjakit;Muut-Konjakit;;;Ranska;Cognac;;AC Cognac Grande Champagne;;;Meripihkanruskea, täyteläinen, iäkäs, lämmin, kypsän hedelmäinen, viikunainen, kevyen appelsiininkuorinen, tummasuklainen, pähkinäinen, setrinen, tamminen, mausteinen;pullo;luonnonkorkki;40.0;;0;;;;220.0;erikoiserä;3,27586E+12
199957;Frapin VSOP;Frapin;0,7 l;59.00;84.29;;432;konjakit;VSOP-Konjakit;;;Ranska;Cognac;;AC Cognac Grande Champagne;;;Meripihkanruskea, täyteläinen, lämmin, hedelmäinen, toffeinen, kaakaoinen, hennon teelehtinen, tamminen;pullo;luonnonkorkki;40.0;;11;;;;230.0;vakiovalikoima;3,27585E+12
781;Gautier VS;Gautier;0,7 l;39.89;56.84;;432;konjakit;VS-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Meripihkankeltainen, keskitäyteläinen, nuorehko, pehmeä, hedelmäinen, hennon toffeinen, kevyen tamminen;pullo;luonnonkorkki;40.0;;11;;;;230.0;vakiovalikoima;3,26955E+12
915697;Gautier VSOP;Maison Gautier;0,7 l;44.98;64.26;;432;konjakit;VSOP-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Meripihkanruskea, keskitäyteläinen, melko iäkäs, lämmin, kukkainen, kuivahedelmäinen, tamminen;pullo;luonnonkorkki;40.0;;13;;;;230.0;tilausvalikoima;3,26955E+12
